bucket_min,symbol,distance_bucket,threshold,n,touch_pct,median_mfe_bps,median_mae_bps
5,SPY,0.3-0.5%,500000,80,20.0,17.06949806213379,22.180949211120605
5,SPY,0.3-0.5%,1000000,13,23.076923076923077,17.105548858642578,21.939044952392578
5,SPY,0.5-1%,1000,3369,0.9498367468091422,13.798849105834961,15.213655948638916
5,SPY,0.5-1%,5000,2443,1.146131805157593,15.159571170806885,16.162012100219727
5,SPY,0.5-1%,25000,1129,1.41718334809566,15.835330963134766,18.23776912689209
5,SPY,0.5-1%,50000,601,2.329450915141431,15.835330963134766,21.805938720703125
5,SPY,0.5-1%,100000,260,3.076923076923077,14.932573795318604,23.014334678649902
5,SPY,0.5-1%,250000,59,1.694915254237288,16.785903930664062,25.48114013671875
5,SPY,1-1.5%,1000,1623,0.0,14.905667781829834,16.234352111816406
5,SPY,1-1.5%,5000,807,0.0,14.593861103057861,18.42516803741455
5,SPY,1-1.5%,25000,184,0.0,12.683331489562988,22.777868270874023
5,SPY,1-1.5%,50000,53,0.0,15.072648048400879,25.48114013671875
5,SPY,1-1.5%,100000,14,0.0,7.878891944885254,25.152029037475586
5,SPY,1.5-2%,1000,711,0.0,12.91105842590332,21.62954807281494
5,SPY,1.5-2%,5000,255,0.0,13.365206718444824,25.532838821411133
5,SPY,1.5-2%,25000,30,0.0,11.13762617111206,30.082763671875
5,SPY,2-3%,1000,452,0.0,11.96752643585205,21.87249183654785
5,SPY,2-3%,5000,81,0.0,14.232705116271973,25.391279220581055
5,SPY,3%+,1000,227,0.0,11.052224159240723,20.611631393432617
