bucket_min,symbol,distance_bucket,threshold,n,touch_pct,median_mfe_bps,median_mae_bps
1,SPXW,0.3-0.5%,1000,15468,12.61313679855185,13.495235443115234,13.920047760009766
1,SPXW,0.3-0.5%,5000,12712,13.892385147891757,14.592804908752441,14.856273651123047
1,SPXW,0.3-0.5%,25000,8152,17.38223748773307,15.923194885253906,15.640321731567383
1,SPXW,0.3-0.5%,50000,5361,19.455325498974073,16.6220760345459,16.691091537475586
1,SPXW,0.3-0.5%,100000,2532,21.761453396524484,17.744680404663086,17.468867301940918
1,SPXW,0.3-0.5%,250000,409,18.82640586797066,19.10378074645996,17.14421844482422
1,SPXW,0.3-0.5%,500000,65,15.384615384615385,19.412147521972656,14.950980186462402
1,SPXW,0.5-1%,1000,24723,1.0880556566759698,14.934195518493652,15.326388359069824
1,SPXW,0.5-1%,5000,15137,1.5789125982691419,15.495908737182617,16.597837448120117
1,SPXW,0.5-1%,25000,5985,3.258145363408521,15.69459056854248,19.3612060546875
1,SPXW,0.5-1%,50000,2821,3.792981212336051,16.4715518951416,19.8841609954834
1,SPXW,0.5-1%,100000,931,3.22234156820623,17.73517608642578,19.33212661743164
1,SPXW,0.5-1%,250000,144,2.083333333333333,19.8841609954834,15.255992412567139
1,SPXW,0.5-1%,500000,24,0.0,22.995155334472656,18.575901985168457
1,SPXW,1-1.5%,1000,10575,0.0,14.64491081237793,18.178932189941406
1,SPXW,1-1.5%,5000,4062,0.0,13.38505744934082,22.563344955444336
1,SPXW,1-1.5%,25000,665,0.0,12.837759971618652,26.451831817626953
1,SPXW,1-1.5%,50000,233,0.0,11.814542770385742,26.157913208007812
1,SPXW,1-1.5%,100000,60,0.0,10.475020408630371,26.054794311523438
1,SPXW,1.5-2%,1000,4251,0.0,13.168830394744873,22.594348907470703
1,SPXW,1.5-2%,5000,1001,0.0,12.014017105102539,26.06795310974121
1,SPXW,1.5-2%,25000,88,0.0,13.07234001159668,25.599552154541016
1,SPXW,1.5-2%,50000,13,0.0,23.23645782470703,15.171895027160645
1,SPXW,2-3%,1000,2668,0.0,12.476471900939941,23.965198516845703
1,SPXW,2-3%,5000,373,0.0,12.396610260009766,25.26373863220215
1,SPXW,2-3%,25000,25,0.0,10.46872615814209,28.209264755249023
1,SPXW,3%+,1000,772,0.0,11.91427993774414,22.927650451660156
1,SPXW,3%+,5000,54,0.0,9.881382465362549,27.009581565856934
1,SPY,0.3-0.5%,1000,7535,11.758460517584606,13.689045906066895,14.34196424484253
1,SPY,0.3-0.5%,5000,5410,14.085027726432534,14.910223007202148,15.28016185760498
1,SPY,0.3-0.5%,25000,2378,17.36753574432296,16.122888565063477,17.533199310302734
1,SPY,0.3-0.5%,50000,1240,19.032258064516128,16.690495491027832,19.165348052978516
1,SPY,0.3-0.5%,100000,478,20.920502092050206,17.801605224609375,19.362443923950195
1,SPY,0.3-0.5%,250000,75,18.666666666666668,14.855094909667969,21.939044952392578
1,SPY,0.5-1%,1000,10140,1.0650887573964496,14.803363800048828,16.31852149963379
1,SPY,0.5-1%,5000,5151,1.57251019219569,15.634782791137695,18.244083404541016
1,SPY,0.5-1%,25000,1024,2.9296875,15.610508918762207,22.812152862548828
1,SPY,0.5-1%,50000,350,3.1428571428571432,15.397236824035645,25.48114013671875
1,SPY,0.5-1%,100000,101,4.9504950495049505,13.365206718444824,26.230777740478516
1,SPY,0.5-1%,250000,12,8.333333333333332,13.402548789978027,19.870325088500977
1,SPY,1-1.5%,1000,2991,0.0,14.088476181030273,18.980880737304688
1,SPY,1-1.5%,5000,961,0.0,13.947059631347656,18.53773307800293
1,SPY,1-1.5%,25000,79,0.0,12.399499893188477,24.402183532714844
1,SPY,1-1.5%,50000,22,0.0,15.236473083496094,18.83629035949707
1,SPY,1-1.5%,100000,11,0.0,5.001751899719238,28.29604721069336
1,SPY,1.5-2%,1000,916,0.0,12.869729042053223,25.48114013671875
1,SPY,1.5-2%,5000,270,0.0,12.658246040344238,27.513399124145508
1,SPY,2-3%,1000,404,0.0,11.867364883422852,21.269855499267578
1,SPY,2-3%,5000,64,0.0,10.358060836791992,21.504798889160156
1,SPY,3%+,1000,172,0.0,11.367218017578125,20.05636215209961
