executed_at,underlying_symbol,option_chain_id,side,strike,option_type,expiry,underlying_price,nbbo_bid,nbbo_ask,ewma_nbbo_bid,ewma_nbbo_ask,price,size,premium,volume,open_interest,implied_volatility,delta,theta,gamma,vega,rho,theo,sector,exchange,report_flags,canceled,upstream_condition_detail,equity_type,date,ingested_at,spread_width_pct,nbbo_position,distance_from_spot_pct,distance_from_spot_pts,repeat_print_count_today,significance_score,signed_direction,time_bucket,dte_bucket,ticker_family,won,close_won,time_to_itm_min,time_in_itm_min,mfe_pts,mae_pts,close_distance_from_strike_pts
2026-04-13T17:52:38.437035+0000,SPX,SPX260918C07000000,ask,7000.0,call,2026-09-18,6844.58,261.0,262.0,261.0,262.0,263.4,500,13170000.0,7627,98027,0.1832722355678754,0.452884112829052,-1.050997987169394,0.000480000309276158,17.84004826492278,12.27812173906906,263.3999999999996,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0038240917782026767,3.7999999999999545,0.02270701781555626,155.42000000000007,10,4,bullish_call_buy,midday,8DTE+,spx_complex,false,false,,0,-113.44999999999982,-155.84000000000015,-114.02000000000044
2026-04-13T18:08:25.816858+0000,SPX,SPX260918C07000000,bid,7000.0,call,2026-09-18,6849.29,262.7,263.5,262.7,263.5,262.54,400,10501600.0,8039,98027,0.1815935760523956,0.454292254623647,-1.042724357608887,0.000484304966344636,17.85972368978852,12.33282807326164,262.5400000000004,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.00304066894716842,-1.3999999999999857,0.02200374053369036,150.71000000000004,11,4,bearish_call_sell,afternoon,8DTE+,spx_complex,true,true,,0,113.44999999999982,113.44999999999982,114.02000000000044
2026-04-13T17:42:52.626819+0000,SPX,SPX260717C06600000,ask,6600.0,call,2026-07-17,6846.51,435.6,436.8,435.6,436.8,436.93,238,10398934.0,272,5865,0.2158964302248439,0.652824229167038,-1.488937553950408,0.000489721556454249,12.89923387763096,10.49590611663752,436.9299999999998,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0027510316368637975,1.2166666666666137,0.036005205571889944,246.51000000000022,1,4,bullish_call_buy,midday,8DTE+,spx_complex,true,true,0,137,286.5500000000002,242.6199999999999,285.97999999999956
2026-04-13T16:41:22.596964+0000,SPX,SPX261218C06800000,ask,6800.0,call,2026-12-18,6837.32,512.5,514.1,512.5,514.1,515.0,200,10300000.0,411,21549,0.2183439526990934,0.552156501954216,-1.004338406900359,0.0003207723548499839,22.33656546617511,22.24129870661528,515.0,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0031170855250341376,2.1250000000000266,0.005458278974802951,37.31999999999971,2,4,bullish_call_buy,midday,8DTE+,spx_complex,true,true,0,198,86.55000000000018,31.329999999999927,85.97999999999956
2026-04-13T18:32:42.459688+0000,SPX,SPX260618C06850000,bid,6850.0,call,2026-06-18,6848.71,204.6,205.2,204.6,205.2,204.56,500,10228000.0,2486,20590,0.1756111254932625,0.515817296958279,-1.562711513004439,0.000779439119567352,11.60921489182106,6.01797598000479,204.56,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0029282576866764003,-1.1333333333332607,0.00018835663942552155,1.2899999999999636,21,4,bearish_call_sell,afternoon,8DTE+,spx_complex,false,false,4,82,-36.55000000000018,-36.55000000000018,-35.97999999999956
2026-04-13T17:37:46.369515+0000,SPX,SPX260918P06000000,bid,6000.0,put,2026-09-18,6847.74,100.6,101.3,100.6,101.3,100.5,1000,10050000.0,6483,120513,0.2296182822154624,-0.1694466776498702,-0.819455729079184,0.0002441004019282368,11.37715579990656,-5.45782556714519,100.5,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.006934125804853917,-1.285714285714248,0.12379850870506179,847.7399999999998,6,4,bullish_put_sell,midday,8DTE+,spx_complex,true,true,,0,842.6199999999999,842.6199999999999,885.9799999999996
2026-04-13T16:59:04.705407+0000,SPX,SPX261218P07000000,ask,7000.0,put,2026-12-18,6847.37,396.7,398.0,396.7,398.0,398.22,250,9955500.0,451,92516,0.1421669793676675,-0.544892121399468,-0.608345624858079,0.000493029597667175,22.41949376282486,-28.16973132497155,398.2200000000003,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0032716748458538098,1.3384615384615337,0.02229031000223445,152.6300000000001,1,4,bearish_put_buy,midday,8DTE+,spx_complex,true,true,0,180,157.3800000000001,113.44999999999982,114.02000000000044
2026-04-13T18:21:25.423212+0000,GOOGL,GOOGL260515C00335000,ask,335.0,call,2026-05-15,319.22,7.9,8.0,7.9,8.0,8.1,12000,9720000.0,46669,4773,0.3791168498845809,0.3548942814591566,-0.2090012270968787,0.0103883360697458,0.3518490464714226,0.0922208022157957,8.09999999999998,Communication Services,ARCO,{futures_floor},false,mlft,Common Stock,2026-04-13,2026-04-29T01:51:34.974392+0000,0.012578616352201213,3.0,0.049432992920243,15.779999999999973,3,4,bullish_call_buy,afternoon,8DTE+,single_name,false,false,,0,-13.370000000000005,-15.899999999999977,-13.689999999999998
2026-04-13T16:59:04.646272+0000,SPX,SPX261218C07000000,bid,7000.0,call,2026-12-18,6847.37,389.0,390.4,389.0,390.4,388.75,250,9718750.0,605,93851,0.1998643432161416,0.48427130333297,-0.927261288073541,0.0003526630809793591,22.5449560093348,19.96935517209497,388.7499999999996,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0035925070567102316,-1.357142857142863,0.02229031000223445,152.6300000000001,6,4,bearish_call_sell,midday,8DTE+,spx_complex,true,true,,0,113.44999999999982,113.44999999999982,114.02000000000044
2026-04-13T18:55:38.002858+0000,SPX,SPX261120P06750000,ask,6750.0,put,2026-11-20,6857.77,291.2,292.5,291.2,292.5,298.05,320,9537600.0,322,2000,0.1680909587204174,-0.4209503031308324,-0.769211925550128,0.0004360073245189158,20.8690836244619,-19.28349341442843,298.0499999999997,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.004454342984409838,9.538461538461437,0.01571502106369861,107.77000000000044,0,4,bearish_put_buy,afternoon,8DTE+,spx_complex,false,false,,0,-104.5600000000004,-136.55000000000018,-135.97999999999956
