date,symbol,option_chain_id,bucket_start,bucket_end,strike,option_type,expiry,is_otm,n_prints,total_volume,total_premium,buy_premium_pct,bucket_spot,moneyness_pct,composite_score,base_spot,ret_fwd_1m,ret_fwd_5m,ret_fwd_15m,ret_fwd_30m,ret_fwd_60m,direction_toward_strike,direction_by_burst,toward_ret_1m,signed_ret_1m,toward_ret_5m,signed_ret_5m,toward_ret_15m,signed_ret_15m,toward_ret_30m,signed_ret_30m,toward_ret_60m,signed_ret_60m,distance_to_strike_bps,touched_strike,minutes_to_touch,peak_toward_bps,peak_against_bps,minutes_to_peak_toward,minutes_to_peak_against,end_of_window_ret_bps,window_minutes
2026-04-15,SPXW,SPXW260415P06955000,2026-04-15 08:31:00,2026-04-15 08:32:00+00:00,6955.0,put,2026-04-15,True,73,225,118353.0,0.38277863678994195,6978.89013671875,-0.0034232000003918068,6.929001576998944,6978.72998046875,0.0004599634849000722,0.0006047253264114261,-0.0007967149722389877,-0.0002249441167805344,0.0021838119719177485,-1,1,-0.0004599634849000722,0.0004599634849000722,-0.0006047253264114261,0.0006047253264114261,0.0007967149722389877,-0.0007967149722389877,0.0002249441167805344,-0.0002249441167805344,-0.0021838119719177485,0.0021838119719177485,34.00329362958974,False,,16.6220760345459,30.24886131286621,12.0,116.0,-21.393829345703125,120.0
2026-04-15,SPXW,SPXW260415C07010000,2026-04-15 09:21:00,2026-04-15 09:22:00+00:00,7010.0,call,2026-04-15,True,123,266,69127.0,0.6229259189607534,6985.91015625,0.0034483472033272327,6.928075750089793,6987.18017578125,0.00015171479026321322,0.0007255894597619772,0.0005380948423407972,0.0007928862469270825,0.0016472690040245652,1,1,0.00015171479026321322,0.00015171479026321322,0.0007255894597619772,0.0007255894597619772,0.0005380948423407972,0.0005380948423407972,0.0007928862469270825,0.0007928862469270825,0.0016472690040245652,0.0016472690040245652,32.65956171825564,False,,20.866201400756836,5.395623683929443,119.0,17.0,19.936065673828125,120.0
2026-04-15,SPY,SPY260415P00695000,2026-04-15 10:51:00,2026-04-15 10:52:00+00:00,695.0,put,2026-04-15,True,37,1008,29186.0,0.9828342355924073,697.375,-0.0034056282487901057,6.926335219067673,697.4000244140625,-7.176487997639924e-05,-0.0005951233906671405,-0.00022947257093619555,0.0004373281553853303,-0.001605957979336381,-1,-1,7.176487997639924e-05,7.176487997639924e-05,0.0005951233906671405,0.0005951233906671405,0.00022947257093619555,0.00022947257093619555,-0.0004373281553853303,-0.0004373281553853303,0.001605957979336381,0.001605957979336381,34.41388485867832,False,,24.373804092407227,8.603033065795898,64.0,104.0,-4.587701320648193,120.0
2026-04-15,SPXW,SPXW260415P06960000,2026-04-15 09:15:00,2026-04-15 09:16:00+00:00,6960.0,put,2026-04-15,True,144,395,153651.0,0.29599547025401723,6984.6298828125,-0.003526297488304747,6.924644441354085,6985.580078125,0.000183203854248859,4.1519680962665007e-05,0.0010292547522112727,0.0009276223718188703,0.00174788071308285,-1,1,-0.000183203854248859,0.000183203854248859,-4.1519680962665007e-05,4.1519680962665007e-05,-0.0010292547522112727,0.0010292547522112727,-0.0009276223718188703,0.0009276223718188703,-0.00174788071308285,0.00174788071308285,36.618402249947366,False,,5.096296310424805,20.413145065307617,3.0,72.0,-16.748369216918945,120.0
2026-04-15,QQQ,QQQ260415C00634000,2026-04-15 11:48:00,2026-04-15 11:49:00+00:00,634.0,call,2026-04-15,True,157,1346,42034.0,0.793310177475377,631.9000244140625,0.0033232718860625615,6.9199396634097905,632.0499877929688,0.00042721230420283973,-0.0006486403872258961,0.00045888626482337713,0.0011786965187638998,0.0018510923255234957,1,1,0.00042721230420283973,0.00042721230420283973,-0.0006486403872258961,-0.0006486403872258961,0.00045888626482337713,0.00045888626482337713,0.0011786965187638998,0.0011786965187638998,0.0018510923255234957,0.0018510923255234957,30.852183287597605,True,73.0,53.397674560546875,17.40329933166504,107.0,7.0,52.60679244995117,120.0
2026-04-15,SPXW,SPXW260415P06960000,2026-04-15 09:18:00,2026-04-15 09:19:00+00:00,6960.0,put,2026-04-15,True,59,262,93125.0,0.5504644295302014,6985.6201171875,-0.0036675508770458286,6.919270115712669,6983.4599609375,5.733413217967609e-06,0.0009651712025515735,0.0009765680879354477,0.0013417585287243128,0.002027670620009303,-1,-1,-5.733413217967609e-06,-5.733413217967609e-06,-0.0009651712025515735,-0.0009651712025515735,-0.0009765680879354477,-0.0009765680879354477,-0.0013417585287243128,-0.0013417585287243128,-0.002027670620009303,-0.002027670620009303,33.59360699241497,False,,1.4032878875732422,23.45525360107422,1.0,69.0,-23.03993034362793,120.0
2026-04-15,SPXW,SPXW260415P06950000,2026-04-15 09:17:00,2026-04-15 09:18:00+00:00,6950.0,put,2026-04-15,True,227,1176,281142.0,0.5473675224619587,6986.830078125,-0.005271357355649873,6.914887590526097,6985.6201171875,-0.00030922898440621793,0.00037507296656258404,0.0012153174029663205,0.0008660368621349335,0.0016519705532118678,-1,-1,0.00030922898440621793,0.00030922898440621793,-0.00037507296656258404,-0.00037507296656258404,-0.0012153174029663205,-0.0012153174029663205,-0.0008660368621349335,-0.0008660368621349335,-0.0016519705532118678,-0.0016519705532118678,50.99063016590303,False,,5.153583526611328,20.355710983276367,1.0,70.0,-18.852903366088867,120.0
2026-04-15,SPY,SPY260415P00695000,2026-04-15 10:55:00,2026-04-15 10:56:00+00:00,695.0,put,2026-04-15,True,86,1147,36766.0,0.7891802208562259,697.1849975585938,-0.0031340283658500777,6.91442990619719,696.97998046875,7.1808126449468546e-06,-2.1454867237480357e-05,0.0004878574109170586,0.000803462928161025,-0.0015782025875523686,-1,-1,-7.1808126449468546e-06,-7.1808126449468546e-06,2.1454867237480357e-05,2.1454867237480357e-05,-0.0004878574109170586,-0.0004878574109170586,-0.000803462928161025,-0.000803462928161025,0.0015782025875523686,0.0015782025875523686,28.40799627298298,False,,18.36186408996582,14.634847640991211,60.0,100.0,-11.765149116516113,120.0
2026-04-15,SPXW,SPXW260415P06975000,2026-04-15 13:00:00,2026-04-15 13:01:00+00:00,6975.0,put,2026-04-15,True,152,429,65189.0,0.5125557992912915,6996.27978515625,-0.0030415857869776075,6.914261044238197,6998.0,0.0007759610889479518,0.00100886810105294,0.0015904377214610577,0.0017119148978963494,0.0030279995407909155,-1,-1,-0.0007759610889479518,-0.0007759610889479518,-0.00100886810105294,-0.00100886810105294,-0.0015904377214610577,-0.0015904377214610577,-0.0017119148978963494,-0.0017119148978963494,-0.0030279995407909155,-0.0030279995407909155,32.86653329522721,False,,0.0,40.3547248840332,,118.0,-35.53889083862305,119.0
2026-04-15,QQQ,QQQ260415P00627000,2026-04-15 08:37:00,2026-04-15 08:38:00+00:00,627.0,put,2026-04-15,True,115,616,52381.0,0.6865657394856913,629.0800170898438,-0.0033064427947751625,6.913814977280229,629.469970703125,0.0002970939385704696,-0.00036535575054585934,0.0006513959378935397,0.0008860458619892597,0.0038629970513284206,-1,-1,-0.0002970939385704696,-0.0002970939385704696,0.00036535575054585934,0.00036535575054585934,-0.0006513959378935397,-0.0006513959378935397,-0.0008860458619892597,-0.0008860458619892597,-0.0038629970513284206,-0.0038629970513284206,39.23889650154423,False,,20.016027450561523,62.43433380126953,6.0,110.0,-55.602333068847656,120.0
