symbol,distance_bucket,threshold,loo_mean,loo_min,loo_max,loo_std,loo_runs,loo_range,full_sample_touch_pct,full_sample_n,verdict
SPXW,0.5-1%,5000,0.9670526430078783,0.4738315744130949,1.0853983207044848,0.20488184987553698,8,0.6115667462913899,0.9694530821291385,5467,robust
SPXW,0.5-1%,25000,1.338961746150549,0.6392045454545455,1.5060240963855422,0.2886465090327395,8,0.8668195509309967,1.3432835820895521,3350,robust
SPXW,0.5-1%,50000,1.8381906697113282,0.881057268722467,2.055733211512106,0.39465831372534926,8,1.174675942789639,1.8442622950819672,2440,robust
SPXW,0.5-1%,100000,2.5277514749535865,1.0638297872340425,2.8363636363636364,0.5996112738101939,8,1.7725338491295939,2.5380710659898478,1576,robust
SPXW,0.5-1%,250000,3.924494110570609,2.494802494802495,4.435483870967742,0.6405646353490095,8,1.940681376165247,3.9383561643835616,584,robust
SPXW,0.5-1%,500000,2.6498982283383326,0.0,3.418803418803419,1.096279620807098,8,3.418803418803419,2.666666666666667,150,robust
SPXW,0.5-1%,1000000,0.0,0.0,0.0,0.0,8,0.0,0.0,21,robust
SPXW,1-1.5%,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,4741,robust
SPXW,1-1.5%,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,2555,robust
SPXW,1-1.5%,25000,0.0,0.0,0.0,0.0,8,0.0,0.0,869,robust
SPXW,1-1.5%,50000,0.0,0.0,0.0,0.0,8,0.0,0.0,430,robust
SPXW,1-1.5%,100000,0.0,0.0,0.0,0.0,8,0.0,0.0,163,robust
SPXW,1-1.5%,250000,0.0,0.0,0.0,0.0,8,0.0,0.0,29,robust
SPXW,1.5-2%,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,2880,robust
SPXW,1.5-2%,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,1006,robust
SPXW,1.5-2%,25000,0.0,0.0,0.0,0.0,8,0.0,0.0,189,robust
SPXW,1.5-2%,50000,0.0,0.0,0.0,0.0,8,0.0,0.0,67,robust
SPXW,1.5-2%,100000,0.0,0.0,0.0,0.0,6,0.0,0.0,12,robust
SPXW,2-3%,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,2515,robust
SPXW,2-3%,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,534,robust
SPXW,2-3%,25000,0.0,0.0,0.0,0.0,8,0.0,0.0,44,robust
SPXW,2-3%,50000,0.0,0.0,0.0,0.0,6,0.0,0.0,11,robust
SPXW,3%+,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,919,robust
SPXW,3%+,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,79,robust
SPY,0.3-0.5%,1000,10.931595975357482,7.2751322751322745,12.43455497382199,1.6800720848252297,8,5.159422698689716,10.93210586881473,1738,moderate
SPY,0.3-0.5%,5000,11.387034715026086,7.604017216642754,12.912280701754387,1.7061210418717556,8,5.308263485111633,11.393188854489164,1615,moderate
SPY,0.3-0.5%,25000,13.297684752059663,9.136546184738956,14.962121212121213,1.8192225688837003,8,5.825575027382257,13.322091062394604,1186,moderate
