symbol,distance_bucket,threshold,loo_mean,loo_min,loo_max,loo_std,loo_runs,loo_range,full_sample_touch_pct,full_sample_n,verdict
SPXW,0.5-1%,100000,3.203659246696079,2.0408163265306123,3.7641154328732744,0.5470619609472959,8,1.7232991063426621,3.22234156820623,931,robust
SPXW,0.5-1%,250000,2.060949626581385,0.0,2.5210084033613445,0.8416100674564096,8,2.5210084033613445,2.083333333333333,144,robust
SPXW,0.5-1%,500000,0.0,0.0,0.0,0.0,8,0.0,0.0,24,robust
SPXW,1-1.5%,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,10575,robust
SPXW,1-1.5%,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,4062,robust
SPXW,1-1.5%,25000,0.0,0.0,0.0,0.0,8,0.0,0.0,665,robust
SPXW,1-1.5%,50000,0.0,0.0,0.0,0.0,8,0.0,0.0,233,robust
SPXW,1-1.5%,100000,0.0,0.0,0.0,0.0,8,0.0,0.0,60,robust
SPXW,1.5-2%,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,4251,robust
SPXW,1.5-2%,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,1001,robust
SPXW,1.5-2%,25000,0.0,0.0,0.0,0.0,8,0.0,0.0,88,robust
SPXW,1.5-2%,50000,0.0,0.0,0.0,0.0,7,0.0,0.0,13,robust
SPXW,2-3%,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,2668,robust
SPXW,2-3%,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,373,robust
SPXW,2-3%,25000,0.0,0.0,0.0,0.0,8,0.0,0.0,25,robust
SPXW,3%+,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,772,robust
SPXW,3%+,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,54,robust
SPY,0.3-0.5%,1000,11.744465855106307,7.535736482287135,13.307299489336136,1.8412841177203587,8,5.771563007049002,11.758460517584606,7535,moderate
SPY,0.3-0.5%,5000,14.057107767960161,9.363295880149813,15.825545171339565,2.0431023483140316,8,6.462249291189751,14.085027726432534,5410,moderate
SPY,0.3-0.5%,25000,17.335584061090525,12.799592044875062,19.647954329210275,2.111152623481297,8,6.848362284335213,17.36753574432296,2378,moderate
SPY,0.3-0.5%,50000,18.987373640638403,14.638971315529178,21.513217866909752,2.036522206205975,8,6.874246551380574,19.032258064516128,1240,moderate
SPY,0.3-0.5%,100000,20.889279450236067,18.635170603674542,23.4192037470726,1.6368248050623888,8,4.784033143398059,20.920502092050206,478,robust
SPY,0.3-0.5%,250000,18.661944675421395,14.285714285714285,22.413793103448278,2.418844476749624,8,8.128078817733993,18.666666666666668,75,moderate
SPY,0.5-1%,1000,1.0611964324101728,0.5169172932330827,1.2283894449499546,0.23627478571847435,8,0.711472151716872,1.0650887573964496,10140,robust
SPY,0.5-1%,5000,1.56667386145299,0.8529276164130936,1.8100558659217878,0.3335414219659841,8,0.9571282495086942,1.57251019219569,5151,robust
SPY,0.5-1%,25000,2.9121594332855545,1.3173652694610778,3.484320557491289,0.759676434263798,8,2.166955288030211,2.9296875,1024,robust
SPY,0.5-1%,50000,3.1278117417013913,0.6896551724137931,3.793103448275862,1.0080828059741271,8,3.103448275862069,3.1428571428571432,350,robust
SPY,0.5-1%,100000,4.927969127977139,0.0,6.41025641025641,2.037448644129613,8,6.41025641025641,4.9504950495049505,101,moderate
SPY,0.5-1%,250000,7.835497835497835,0.0,10.0,3.521670076743825,7,10.0,8.333333333333332,12,moderate
SPY,1-1.5%,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,2991,robust
SPY,1-1.5%,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,961,robust
SPY,1-1.5%,25000,0.0,0.0,0.0,0.0,8,0.0,0.0,79,robust
SPY,1-1.5%,50000,0.0,0.0,0.0,0.0,8,0.0,0.0,22,robust
SPY,1-1.5%,100000,0.0,0.0,0.0,0.0,6,0.0,0.0,11,robust
SPY,1.5-2%,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,916,robust
SPY,1.5-2%,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,270,robust
SPY,2-3%,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,404,robust
SPY,2-3%,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,64,robust
SPY,3%+,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,172,robust
