date,timestamp,ticker,price,gamma_oi,gamma_vol,gamma_dir,charm_oi,charm_vol,charm_dir,vanna_oi,vanna_vol,vanna_dir
2026-04-13T05:00:00.000Z,2026-04-13T15:40:00.000Z,SPX,6820.00,33406853921.8700,97081783238.5100,26125792070.1200,-15006948124280.4400,-29238135423048.2100,-409268088132.8200,949830902.2944,729951652.2080,44364742.4176
2026-04-13T05:00:00.000Z,2026-04-13T15:45:00.000Z,SPX,6820.00,31513987675.4600,69438234692.0900,23872949718.5000,-15074027428411.4400,-30206893753185.9700,-494537515141.8700,930441439.0192,733157156.6992,44501296.1504
2026-04-13T05:00:00.000Z,2026-04-13T15:50:00.000Z,SPX,6815.00,18804147555.8600,56766040430.2500,22747769749.9300,-15165347643748.4300,-31691733298971.5200,-755616181711.2700,1310217546.3825,765285299.6650,51406953.9563
2026-04-13T05:00:00.000Z,2026-04-13T15:55:00.000Z,SPX,6815.00,24686832582.6100,59918988610.3500,24533194523.9200,-15066261553098.3900,-32105834532938.6500,-418828287906.1600,897543295.9504,741715949.2752,45661361.1312
2026-04-13T05:00:00.000Z,2026-04-13T16:00:00.000Z,SPX,6815.00,28474469847.0200,49783965496.7400,23879730191.8100,-15791670254866.3200,-34175283785766.4800,-801649945804.9500,976076188.9123,789770841.5634,51223153.6643
2026-04-13T05:00:00.000Z,2026-04-13T16:05:00.000Z,SPX,6820.00,26250080921.3200,45440851259.3000,23301349074.0200,-15653025587114.2300,-35640608401100.3400,-540478853990.6300,765353407.2149,824704508.8666,44218876.8232
2026-04-13T05:00:00.000Z,2026-04-13T16:10:00.000Z,SPX,6820.00,20498203853.1000,111961405681.2900,28939349823.8000,-16119843946176.6900,-37689751008941.9100,-432221857866.3700,1397420504.7584,845442161.6096,45960786.1232
2026-04-13T05:00:00.000Z,2026-04-13T16:15:00.000Z,SPX,6820.00,29115135986.7300,105386745717.1100,29754378677.1000,-16304513743613.2700,-39618865459627.7000,-581433517793.3800,683072004.5577,880556870.5466,54910956.5202
2026-04-13T05:00:00.000Z,2026-04-13T16:20:00.000Z,SPX,6830.00,42662944491.4900,159987053948.3400,34990244089.2200,-16783043740787.6400,-40159632986813.9500,80999328272.5400,919044172.3345,841488065.0800,37938922.5745
2026-04-13T05:00:00.000Z,2026-04-13T16:25:00.000Z,SPX,6830.00,31038657082.3500,197970475258.1700,40365212067.4600,-16574834896997.4400,-40161388459375.3600,339380564073.0900,1340438013.2240,770165792.4936,36560412.2038
2026-04-13T05:00:00.000Z,2026-04-13T16:30:00.000Z,SPX,6835.00,49490389395.8800,236167826422.5000,44391295298.2100,-16908202837849.2500,-41074210103648.9800,1291500350236.4000,781075387.4901,729350631.6873,12718018.8876
2026-04-13T05:00:00.000Z,2026-04-13T16:35:00.000Z,SPX,6840.00,46639319323.4800,248767242690.7300,47520825255.1600,-16841013730694.9600,-41472100893584.8000,1384214240297.6100,658517694.0031,679706628.3426,8247977.4301
2026-04-13T05:00:00.000Z,2026-04-13T16:40:00.000Z,SPX,6830.00,31437737061.4400,232687487125.2700,43981549565.4800,-17611379017184.9000,-45705142561026.9000,819933485700.2400,1286704194.6422,750689752.7418,21715550.6538
2026-04-13T05:00:00.000Z,2026-04-13T16:45:00.000Z,SPX,6840.00,47163816668.2400,259994323187.3800,47862008879.2000,-18344538062855.8400,-46105123019660.8000,1288580583708.0100,805627180.5863,729659111.3354,12650236.8096
