n,median,mean,win_pct_above_0,win_pct_above_25,win_pct_above_50,win_pct_above_100,loss_pct_below_neg25,loss_pct_below_neg50,policy,slice
18405,5.5045871559632875,-4.087343595588929,58.022276555283895,23.988046726433033,10.747079597935343,2.787286063569682,25.840804129312687,21.380059766367836,act30_trail25,mode_A
18405,1.9915651358950361,-6.226713398694652,52.05650638413475,39.88046726433034,16.21841890790546,2.5210540613963595,34.18636240152132,28.93778864439011,act50_trail15,mode_A
18405,1.661016949152537,-6.224652425764985,51.76854115729421,36.375984786742734,15.691388209725618,3.9934800325998365,34.21896223852214,28.943221950556914,act50_trail25,mode_A
18405,-11.864406779661019,-10.446800424167533,40.24449877750611,28.56289051888074,22.091822874218963,9.133387666395002,44.851942406954635,38.67427329530019,act100_trail50,mode_A
18405,0.0,-4.90413652950535,48.92692203205651,19.744634610160283,10.497147514262428,3.9174137462646024,26.45476772616137,21.472425971203478,act30_pct25,mode_A
18405,0.4613964933866459,-6.809789416194669,50.59494702526487,25.791904373811462,13.49633251833741,5.052974735126324,34.49062754686227,29.019288236892148,act50_pct25,mode_A
18405,-12.0,-10.092424646674043,40.04346644933442,27.49252920402065,17.593045368106495,7.883727248030427,44.90627546862266,38.6905732138006,act100_pct33,mode_A
18405,2.9411764705882213,-2.828475360785714,53.393099701168154,28.93235533822331,12.659603368649824,3.3306166802499324,28.198859005704975,22.30915512089106,act30_trail10_grace5,mode_A
18405,2.739212007504692,-2.894047592869958,53.20836729149687,27.23173050801413,12.795436022819887,3.6674816625916873,28.220592230372183,22.30915512089106,act30_trail15_grace5,mode_A
18405,-0.6103763987792522,-5.072495294484288,48.20429231187177,31.746807932627004,17.21814724259712,6.270035316490084,35.66965498505841,29.491985873403966,act50_trail25_grace5,mode_A
18405,-17.27158948685857,-2.314075035782294,35.55012224938876,19.005704971475144,11.572942135289324,5.91143710948112,44.46617766911166,19.08720456397718,tier_25_holdEod,mode_A
18405,-15.217391304347828,-3.9247355512350177,35.23499049171421,21.200760662863352,14.47976093452866,7.019831567508829,34.10486280901929,28.926922032056506,tier_50_holdEod,mode_A
18405,5.777777777777779,-3.819584613449361,54.957891877207274,39.35886987231731,9.100787829394186,0.8312958435207823,30.567780494430863,19.08720456397718,tier_25_then_t50_25,mode_A
18405,-4.703476482617578,-5.930658612650637,44.515077424612876,29.318120076066283,15.772887802227656,3.1187177397446346,38.23960880195599,19.08720456397718,tier_25_then_t100_50,mode_A
18405,-5.142857142857148,0.7846790452829325,40.17929910350448,17.897310513447433,10.263515349089921,4.80304265145341,31.388209725618037,14.811192610703614,hard_30m,mode_A
18405,-38.86255924170616,-3.213633270430844,30.404781309426788,18.21244227112198,13.811464276011954,9.062754686226569,54.09399619668568,47.085031241510464,hold_to_eod,mode_A
32885,9.615384615384603,-1.2641134180466966,60.96396533373879,14.41994830469819,2.076934772692717,0.03953170138360955,21.92184886726471,10.168769955906948,act20_trail10,mode_B
32885,4.734576757532282,-1.2309280667375522,54.1705944959708,24.971871674015507,3.460544321119051,0.0790634027672191,25.856773604987076,11.886878516040749,act30_trail10,mode_B
32885,4.682274247491628,-1.1563927804341334,54.15843089554508,22.533069788657443,5.394556788809488,0.18549490649232173,25.85981450509351,11.88991941614718,act30_trail15,mode_B
32885,3.4090909090909123,-0.8902215634728808,53.823931883837616,20.754143226395012,8.28949369013228,1.103846738634636,25.86285540519994,11.88991941614718,act30_trail25,mode_B
32885,-2.1276595744680753,-1.2100521119266634,46.93325224266383,30.41812376463433,10.916831382089098,0.46525771628402,30.05017485175612,13.559373574578077,act50_trail15,mode_B
32885,-2.1447721179624684,-0.9466646476604769,46.91196594191881,28.587501900562568,11.540215903907557,1.563022654705793,30.05321575186255,13.562414474684505,act50_trail25,mode_B
32885,-6.5420560747663545,-0.8301896027320614,41.49916375247073,22.560437889615326,14.86391972023719,4.862399270183975,33.1366884597841,14.778774517257109,act100_trail50,mode_B
32885,0.0,-0.6621291371449445,48.52972479854037,18.640717652425117,8.961532613653642,2.812832598449141,25.88718260605139,11.905123916679337,act30_pct25,mode_B
32885,-2.181818181818184,-0.7402961866328772,46.85418883989661,22.423597384825907,10.688763874106735,3.23551771324312,30.07146115250114,13.574578075110233,act50_pct25,mode_B
32885,-6.5420560747663545,-0.8461933743453507,41.49916375247073,22.511783487912425,12.729207845522275,4.768131366884598,33.1366884597841,14.778774517257109,act100_pct33,mode_B
32885,3.092783505154642,-1.0048962387358003,53.08803405808119,25.27900258476509,5.558765394556789,0.20374030713091076,25.932796107647864,11.899042116466473,act30_trail10_grace5,mode_B
32885,3.041362530413625,-1.0576196536046336,53.06978865744261,23.13516800973088,6.565303329785617,0.3040900106431504,25.935837007754298,11.902083016572904,act30_trail15_grace5,mode_B
32885,-2.222222222222224,-0.956289395941734,46.75079823627794,27.644822867568802,11.832142314124981,1.6968222593887792,30.077542952714005,13.562414474684505,act50_trail25_grace5,mode_B
32885,-0.9174311926605512,-0.538082971496466,48.05838528204349,20.918351832142314,7.82727687395469,2.1590390755663673,25.27596168465866,11.135776189752168,tier_25_holdEod,mode_B
32885,-3.174603174603177,-0.5438646616335935,45.5405199939182,24.114337844001824,12.163600425726015,2.8493233997263188,30.05017485175612,13.559373574578077,tier_50_holdEod,mode_B
32885,1.5037593984962307,-0.9134703495787199,51.594952105823324,29.876843545689525,4.844153869545385,0.03649080127717804,24.79549946784248,11.135776189752168,tier_25_then_t50_25,mode_B
32885,-0.514579759862783,-0.8552328271145114,48.67568800364908,23.205108712178806,8.821651208757793,0.86969743043941,25.202980082104304,11.135776189752168,tier_25_then_t100_50,mode_B
32885,-2.035623409669213,-0.19913046537763862,43.75247073133647,11.117530789113578,3.76159343165577,0.5473620191576707,11.594952105823324,1.3714459480006083,hard_30m,mode_B
32885,-7.521105141980036,-0.19588989149597055,40.20069940702448,20.182454006385893,11.777406112209214,5.342861487000152,33.77527748213471,15.031169226090924,hold_to_eod,mode_B
