bucket_min,symbol,option_type,aggression_regime,distance_bucket,premium_bucket,n,touch_pct,median_minutes_to_touch,median_mfe_bps,median_mae_bps,median_end_ret_bps
5,QQQ,put,buy_dom,1.5-2%,$5-25k,28,0.0,,12.332025527954102,52.05668067932129,-40.07168006896973
5,QQQ,put,buy_dom,2-3%,$1-5k,128,0.0,,13.981889724731445,40.981727600097656,-24.867895126342773
5,QQQ,put,buy_dom,2-3%,$5-25k,14,0.0,,18.624106407165527,59.41523361206055,-41.85454177856445
5,QQQ,put,buy_dom,3%+,$1-5k,109,0.0,,12.400328636169434,27.975940704345703,-18.930450439453125
5,QQQ,put,mixed,0.3-0.5%,$100-500k,148,24.324324324324326,66.5,15.625963687896729,27.11017417907715,-12.03108024597168
5,QQQ,put,mixed,0.3-0.5%,$25-100k,100,20.0,60.0,14.248027801513672,24.58774471282959,-15.896285057067871
5,QQQ,put,mixed,0.3-0.5%,$5-25k,57,26.31578947368421,49.0,13.142796516418457,17.426620483398438,-12.378470420837402
5,QQQ,put,mixed,0.3-0.5%,$500k-2.5M,41,21.951219512195124,60.0,16.531593322753906,41.37721252441406,-26.56817626953125
5,QQQ,put,mixed,0.5-1%,$1-5k,130,3.076923076923077,13.0,13.434425354003906,21.387850761413574,-13.085691928863525
5,QQQ,put,mixed,0.5-1%,$100-500k,98,11.224489795918368,60.0,16.059141159057617,42.02339744567871,-12.635747909545898
5,QQQ,put,mixed,0.5-1%,$25-100k,169,4.733727810650888,43.0,14.459617614746094,30.457996368408203,-19.000160217285156
5,QQQ,put,mixed,0.5-1%,$5-25k,171,0.5847953216374269,29.0,14.613868236541748,23.179285049438477,-11.056209087371826
5,QQQ,put,mixed,1-1.5%,$1-5k,108,0.0,,15.62801742553711,22.235815048217773,-9.88847827911377
5,QQQ,put,mixed,1-1.5%,$25-100k,39,0.0,,21.996824264526367,48.061092376708984,-11.9431791305542
5,QQQ,put,mixed,1-1.5%,$5-25k,119,0.0,,13.521100997924805,33.12181854248047,-16.67926597595215
5,QQQ,put,mixed,1.5-2%,$1-5k,62,0.0,,16.059141159057617,26.40148639678955,-7.130225658416748
5,QQQ,put,mixed,1.5-2%,$5-25k,38,0.0,,16.47834873199463,57.33260726928711,-42.09385299682617
5,QQQ,put,mixed,2-3%,$1-5k,48,0.0,,12.400328636169434,50.49238967895508,-40.43977355957031
5,QQQ,put,sell_dom,0.3-0.5%,$1-5k,28,3.571428571428571,4.0,6.519826650619507,7.933520078659058,-4.494993448257446
5,QQQ,put,sell_dom,0.3-0.5%,$100-500k,84,26.190476190476193,58.5,18.639472007751465,23.504390716552734,-4.04081130027771
5,QQQ,put,sell_dom,0.3-0.5%,$25-100k,87,27.586206896551722,48.5,14.85998249053955,20.347251892089844,-12.378470420837402
5,QQQ,put,sell_dom,0.3-0.5%,$5-25k,76,15.789473684210526,33.0,9.026267528533936,20.725072860717773,-13.266695976257324
5,QQQ,put,sell_dom,0.3-0.5%,$500k-2.5M,19,15.789473684210526,75.0,12.810676574707031,43.87090301513672,-34.88741683959961
